angry,disgusted,fearful,happy,neutral,sad,surprised,time
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1:39:5
0.0,0.0,0.0,0.01,0.99,0.0,0.0,1:39:7
0.0,0.0,0.0,0.4,0.49,0.11,0.0,1:39:9
0.0,0.0,0.0,0.18,0.77,0.0,0.05,1:39:11
0.0,0.0,0.0,0.13,0.51,0.36,0.0,1:39:13
0.0,0.0,0.0,0.07,0.49,0.43,0.01,1:39:15
0.0,0.0,0.0,0.03,0.93,0.03,0.0,1:39:17
0.0,0.0,0.0,0.07,0.9,0.03,0.0,1:39:19
0.0,0.0,0.0,0.0,0.51,0.49,0.0,1:39:25
0.0,0.0,0.0,0.0,0.99,0.0,0.0,1:39:33
0.0,0.0,0.0,0.0,0.92,0.08,0.0,1:39:35
0.0,0.0,0.0,0.0,0.89,0.08,0.02,1:39:37
0.0,0.0,0.0,0.0,0.7,0.05,0.24,1:39:39
0.0,0.0,0.01,0.01,0.19,0.73,0.06,1:39:43
0.0,0.0,0.0,0.0,0.43,0.57,0.0,1:39:49
0.0,0.0,0.0,0.0,0.94,0.06,0.0,1:39:51
0.0,0.0,0.0,0.01,0.99,0.0,0.0,1:39:53
0.0,0.0,0.0,0.0,0.98,0.02,0.0,1:39:55
0.0,0.0,0.0,0.01,0.03,0.46,0.49,1:39:59
0.0,0.0,0.0,0.13,0.62,0.24,0.0,1:40:3
0.0,0.0,0.0,0.08,0.56,0.35,0.0,1:40:5
0.0,0.0,0.0,0.98,0.02,0.0,0.0,1:40:7
0.0,0.0,0.0,0.87,0.11,0.01,0.01,1:40:9
0.0,0.0,0.0,0.36,0.38,0.26,0.0,1:40:11
0.0,0.0,0.0,0.28,0.09,0.61,0.01,1:40:13
0.0,0.0,0.0,0.14,0.85,0.0,0.0,1:40:15
0.0,0.0,0.0,0.23,0.76,0.01,0.0,1:40:17
0.0,0.0,0.0,0.51,0.48,0.0,0.0,1:40:19
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1:40:21
0.0,0.0,0.0,0.02,0.83,0.15,0.0,1:40:23
0.0,0.0,0.0,0.06,0.93,0.01,0.0,1:40:25
0.0,0.0,0.0,0.02,0.98,0.0,0.0,1:40:27
0.0,0.0,0.0,0.0,0.02,0.98,0.0,1:40:29
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1:40:31
0.0,0.0,0.0,0.0,0.01,0.99,0.0,1:40:33
0.0,0.0,0.0,0.88,0.01,0.11,0.0,1:40:35
0.0,0.01,0.05,0.02,0.15,0.1,0.67,1:40:39
0.0,0.0,0.0,0.0,0.93,0.06,0.0,1:40:41
0.0,0.0,0.01,0.0,0.39,0.6,0.0,1:40:43
0.0,0.0,0.51,0.0,0.13,0.15,0.2,1:40:45
0.0,0.0,0.0,0.01,0.95,0.03,0.01,1:40:47
0.0,0.0,0.0,0.0,0.99,0.01,0.0,1:40:49
0.0,0.0,0.0,0.01,0.99,0.0,0.0,1:40:51
0.0,0.0,0.0,0.11,0.86,0.02,0.01,1:40:53
0.0,0.0,0.0,0.03,0.78,0.18,0.01,1:40:55
0.0,0.0,0.0,0.03,0.95,0.02,0.0,1:40:57
0.0,0.0,0.0,0.01,0.98,0.0,0.0,1:40:59
0.0,0.0,0.01,0.02,0.85,0.11,0.01,1:41:1
0.0,0.0,0.0,0.02,0.9,0.08,0.0,1:41:3
0.0,0.0,0.0,0.0,0.62,0.37,0.01,1:41:5
0.0,0.0,0.0,0.01,0.88,0.1,0.01,1:41:9
0.0,0.0,0.02,0.0,0.48,0.49,0.01,1:41:13
0.0,0.0,0.0,0.0,0.95,0.05,0.0,1:41:15
